prompt,model,filtered_mean_micro_f1,no_filter_mean_micro_f1,no_filter_minus_filtered_micro_f1,filtered_mean_position_sensitive_micro_f1,no_filter_mean_position_sensitive_micro_f1,no_filter_minus_filtered_position_sensitive_micro_f1,no_filter_total_evaluated_items,no_filter_total_error_runs,no_filter_total_missing_predictions
lasha,google/gemini-3.1-flash-lite,0.7406919887773608,0.7618958023734009,0.021203813596040177,0.6006275842869137,0.6154570785765157,0.014829494289602008,1810,0,0
lasha,anthropic/claude-sonnet-4.5,0.7331325663978353,0.7591950974023243,0.026062531004488965,0.579274169029226,0.6063748949490336,0.02710072591980761,1810,0,0
lasha,openai/gpt-5.4,0.7297612871578456,0.7405257997673257,0.010764512609480081,0.5745836163803939,0.5883228637994188,0.01373924741902488,1810,0,0
lasha,google/gemini-3.5-flash,0.7072111967133853,0.733972014177405,0.026760817464019704,0.5605311689731532,0.5918910888170764,0.03135991984392317,1810,0,0
lasha,anthropic/claude-haiku-4.5,0.6859205776173285,0.7055837563451777,0.019663178727849173,0.5297691373025516,0.5514612452350699,0.0216921079325183,1810,0,0
lasha,openai/gpt-oss-20b,0.6191520341034444,0.6151344356413793,-0.004017598462065175,0.4496073911839031,0.4890237697114813,0.03941637852757823,1807,3,3
lasha,openai/gpt-5.4-mini,0.5785654096154041,0.5925266724749715,0.013961262859567336,0.39914962468762494,0.46249275056113087,0.06334312587350593,1810,0,0
lasha,google/gemma-3-4b-it,0.4503993748866053,0.31155659590788504,-0.13884277897872027,0.2383490093262421,0.18719148435112376,-0.05115752497511833,1775,35,35
