prediction_column,reference_columns,evaluated_items,precision,recall,micro_f1,tp,fp,fn,exact_best_matches,exact_best_match_rate,no_relation_best_matches,skipped_missing_prediction,skipped_no_reference,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn
LLM__ettore__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.555045871559633,0.6740947075208914,0.6088050314465409,242,194,117,173,0.47790055248618785,33,0,0,0.4197247706422018,0.5335276967930029,0.46983311938382544,183,253,160
LLM__ettore__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.5491949910554562,0.8410958904109589,0.6645021645021645,307,252,58,181,0.5,27,0,0,0.39892665474060823,0.6463768115942029,0.49336283185840707,223,336,122
LLM__ettore__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6448979591836734,0.8681318681318682,0.7400468384074942,316,174,48,219,0.6049723756906077,37,0,0,0.48367346938775513,0.6829971181556196,0.5663082437275986,237,253,110
LLM__ettore__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6548672566371682,0.8222222222222222,0.729064039408867,296,156,64,220,0.6077348066298343,50,0,0,0.49557522123893805,0.656891495601173,0.5649432534678437,224,228,117
LLM__lasha__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.42905405405405406,0.7514792899408284,0.546236559139785,254,338,84,165,0.4558011049723757,54,0,0,0.2922297297297297,0.5258358662613982,0.3756786102062975,173,419,156
LLM__lasha__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.5602409638554217,0.8157894736842105,0.6642857142857143,279,219,63,205,0.5662983425414365,67,0,0,0.41566265060240964,0.6234939759036144,0.4987951807228916,207,291,125
LLM__lasha__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6258503401360545,0.7976878612716763,0.7013977128335451,276,165,70,212,0.585635359116022,66,0,0,0.4875283446712018,0.6417910447761194,0.5541237113402062,215,226,120
LLM__lasha__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.5360169491525424,0.7376093294460642,0.6208588957055214,253,219,90,182,0.5027624309392266,71,0,0,0.3686440677966102,0.5209580838323353,0.4317617866004963,174,298,160
