prediction_column,reference_columns,evaluated_items,precision,recall,micro_f1,tp,fp,fn,exact_best_matches,exact_best_match_rate,no_relation_best_matches,skipped_missing_prediction,skipped_no_reference,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn
LLM__ettore__anthropic_claude-sonnet-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.5775862068965517,0.8933333333333333,0.7015706806282722,335,245,40,193,0.5331491712707183,21,0,0,0.42931034482758623,0.7014084507042253,0.532620320855615,249,331,106
LLM__ettore__openai_gpt-5.4_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.7255369928400954,0.8515406162464986,0.7835051546391752,304,115,53,239,0.6602209944751382,72,0,0,0.5632458233890215,0.6920821114369502,0.6210526315789474,236,183,105
LLM__ettore__google_gemini-3.5-flash_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6477732793522267,0.8695652173913043,0.7424593967517401,320,174,48,208,0.574585635359116,25,0,0,0.4777327935222672,0.6820809248554913,0.5619047619047619,236,258,110
LLM__lasha__anthropic_claude-sonnet-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6344086021505376,0.8477011494252874,0.7257072570725708,295,170,53,220,0.6077348066298343,69,0,0,0.4946236559139785,0.672514619883041,0.5700123915737298,230,235,112
LLM__lasha__openai_gpt-5.4_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.65,0.8242074927953891,0.7268106734434562,286,154,61,225,0.6215469613259669,77,0,0,0.5022727272727273,0.6577380952380952,0.5695876288659794,221,219,115
LLM__lasha__google_gemini-3.5-flash_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,362,0.6139630390143738,0.844632768361582,0.7110582639714625,299,188,55,217,0.5994475138121547,53,0,0,0.4887063655030801,0.6819484240687679,0.569377990430622,238,249,111
