prediction_column,reference_columns,evaluated_items,precision,recall,micro_f1,tp,fp,fn,exact_best_matches,exact_best_match_rate,no_relation_best_matches,skipped_missing_prediction,skipped_no_reference,position_sensitive_precision,position_sensitive_recall,position_sensitive_micro_f1,position_sensitive_tp,position_sensitive_fp,position_sensitive_fn
LLM__lex_few_shot_precision__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.4351851851851852,0.7014925373134329,0.5371428571428571,47,61,20,56,0.56,27,0,0,,,,,,
LLM__lex_few_shot_precision__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.5567010309278351,0.8059701492537313,0.6585365853658537,54,43,13,62,0.62,29,0,0,,,,,,
LLM__lex_few_shot_precision__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.6086956521739131,0.835820895522388,0.7044025157232704,56,36,11,65,0.65,29,0,0,,,,,,
LLM__lex_few_shot_precision__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.5795454545454546,0.7611940298507462,0.6580645161290323,51,37,16,64,0.64,32,0,0,,,,,,
LLM__lex_few_shot_base__openai_gpt-5.4-mini_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.52,0.7761194029850746,0.6227544910179641,52,48,15,58,0.58,28,0,0,,,,,,
LLM__lex_few_shot_base__anthropic_claude-haiku-4.5_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.4796747967479675,0.8805970149253731,0.6210526315789474,59,64,8,58,0.58,24,0,0,,,,,,
LLM__lex_few_shot_base__google_gemini-3.1-flash-lite_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.5670103092783505,0.8208955223880597,0.6707317073170732,55,42,12,60,0.6,26,0,0,,,,,,
LLM__lex_few_shot_base__openai_gpt-oss-20b_KB,Alternative_KB;Ettore_KB;Jorryt_KB;Lasha_KB;Stefan_KB,100,0.42342342342342343,0.7014925373134329,0.5280898876404494,47,64,20,46,0.46,20,0,0,,,,,,
