prompt,model,runs,mean_micro_f1,sample_sd_micro_f1,min_micro_f1,max_micro_f1
lex_few_shot_base,anthropic_claude-haiku-4.5,3,0.6052,0.0165,0.5882,0.6211
lex_few_shot_base,google_gemini-3.1-flash-lite,3,0.6628,0.0105,0.6509,0.6707
lex_few_shot_base,openai_gpt-5.4-mini,3,0.6095,0.0152,0.5930,0.6228
lex_few_shot_base,openai_gpt-oss-20b,3,0.5630,0.0533,0.5281,0.6243
lex_few_shot_precision,anthropic_claude-haiku-4.5,3,0.6600,0.0343,0.6265,0.6951
lex_few_shot_precision,google_gemini-3.1-flash-lite,3,0.7035,0.0113,0.6918,0.7143
lex_few_shot_precision,openai_gpt-5.4-mini,3,0.5640,0.0251,0.5371,0.5868
lex_few_shot_precision,openai_gpt-oss-20b,3,0.6652,0.0243,0.6452,0.6923
